Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp
RPM8Feb19,02/08/19 06:12, 1289368, 116, 677, 1185, 471, 5.82, 15.31
RPM8Feb19,02/08/19 06:16, 1310283, 116, 677, 1184, 471, 5.82, 15.31
RPM8Feb19,02/08/19 06:18, 1303192, 116, 677, 1185, 471, 5.81, 15.31
RPM8Feb19,02/08/19 06:20, 1392428, 116, 677, 1184, 471, 5.82, 15.31
RPM8Feb19,02/08/19 06:23, 1282630, 116, 677, 1185, 471, 5.83, 15.31
RPM8Feb19,02/08/19 06:25, 1339911, 116, 677, 1184, 471, 5.83, 15.38
RPM8Feb19,02/08/19 06:27, 1282630, 116, 677, 1184, 471, 5.83, 15.31
RPM8Feb19,02/08/19 06:29, 1347651, 116, 677, 1184, 471, 5.82, 15.31
RPM8Feb19,02/08/19 06:31, 1238428, 116, 677, 1185, 471, 5.84, 15.38
RPM8Feb19,02/08/19 06:33, 1317496, 116, 677, 1184, 471, 5.81, 15.38
RPM8Feb19,02/08/19 06:35, 1244442, 116, 677, 1184, 471, 5.82, 15.38
RPM8Feb19,02/08/19 06:37, 1332307, 116, 677, 1184, 471, 5.81, 15.38
RPM8Feb19,02/08/19 06:39, 1293828, 116, 677, 1184, 471, 5.82, 15.38
RPM8Feb19,02/08/19 06:41, 1353139, 116, 677, 1184, 471, 5.83, 15.38
RPM8Feb19,02/08/19 06:43, 1260676, 116, 677, 1184, 471, 5.84, 15.38
RPM8Feb19,02/08/19 06:45, 1317496, 116, 677, 1184, 471, 5.83, 15.31
RPM8Feb19,02/08/19 06:47, 1198845, 116, 677, 1184, 471, 5.82, 15.25
RPM8Feb19,02/08/19 06:50, 1397192, 116, 677, 1184, 471, 5.82, 15.25
RPM8Feb19,02/08/19 06:52, 1276002, 116, 677, 1184, 471, 5.81, 15.25
RPM8Feb19,02/08/19 06:54, 1312732, 116, 677, 1184, 471, 5.81, 15.31
