Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp
19Jan19_Tst2,01/31/19 11:11, 1296222, 116, 714, 1183, 471, 5.81, 18.69
19Jan19_Tst2,01/31/19 11:17, 1263070, 116, 715, 1184, 471, 5.81, 18.75
19Jan19_Tst2,01/31/19 14:49, 1289368, 116, 715, 1183, 471, 5.84, 18.69
19Jan19_Tst2,01/31/19 18:36, 1296222, 116, 692, 1183, 471, 5.81, 18.44
19Jan19_Tst2,01/31/19 18:49, 1273608, 116, 692, 1183, 471, 5.84, 18.69
19Jan19_Tst2,01/31/19 18:58, 1232508, 116, 692, 1183, 471, 5.83, 18.69
19Jan19_Tst2,01/31/19 19:01, 1256761, 116, 692, 1183, 471, 5.84, 18.69
19Jan19_Tst2,01/31/19 19:15, 1215291, 116, 692, 1183, 471, 5.81, 18.75
19Jan19_Tst2,02/01/19 05:24, 1204245, 116, 692, 1184, 471, 5.83, 16.75
19Jan19_Tst2,02/01/19 07:16, 1226680, 116, 692, 1184, 471, 5.83, 16.56
19Jan19_Tst2,02/01/19 07:19, 1244442, 116, 692, 1184, 471, 5.81, 16.56
19Jan19_Tst2,02/01/19 07:56, 1204245, 116, 692, 1184, 471, 5.81, 16.75
19Jan19_Tst2,02/01/19 08:04, 1267089, 116, 692, 1184, 471, 5.83, 16.75
19Jan19_Tst2,02/01/19 08:59, 1332307, 116, 692, 1184, 471, 5.83, 16.75
19Jan19_Tst2,02/01/19 09:02, 1258306, 116, 692, 1184, 471, 5.82, 16.81
19Jan19_Tst2,02/01/19 09:26, 1204245, 116, 692, 1184, 471, 5.80, 16.94
19Jan19_Tst2,02/01/19 10:04, 1310283, 116, 692, 1184, 471, 5.83, 17.00
19Jan19_Tst2,02/01/19 10:21, 1233664, 116, 692, 1184, 471, 5.83, 17.06
19Jan19_Tst2,02/01/19 10:24, 1238428, 116, 692, 1184, 471, 5.81, 17.13
19Jan19_Tst2,02/01/19 10:26, 1256761, 116, 692, 1183, 471, 5.82, 17.13
19Jan19_Tst2,02/01/19 10:29, 1232508, 116, 692, 1183, 471, 5.83, 17.19
19Jan19_Tst2,02/01/19 10:32, 1322443, 116, 692, 1184, 471, 5.81, 17.19
19Jan19_Tst2,02/01/19 10:37, 1296222, 116, 692, 1183, 471, 5.84, 17.19
19Jan19_Tst2,02/01/19 11:06, 1296222, 116, 692, 1184, 471, 5.83, 17.19
19Jan19_Tst2,02/01/19 11:08, 1238428, 116, 692, 1184, 471, 5.81, 17.25
19Jan19_Tst2,02/01/19 11:11, 1250552, 116, 692, 1184, 471, 5.80, 17.25
19Jan19_Tst2,02/01/19 15:49, 1163192, 116, 692, 1183, 471, 5.82, 18.31
19Jan19_Tst2,02/01/19 15:51, 1298428, 116, 692, 1183, 471, 5.84, 18.31
19Jan19_Tst2,02/01/19 18:45, 1254367, 116, 692, 1183, 471, 5.83, 18.31
19Jan19_Tst2,02/02/19 06:17, 1300798, 116, 692, 1184, 471, 5.82, 17.31
19Jan19_Tst2,02/02/19 06:21, 1296222, 116, 692, 1184, 471, 5.83, 17.38
19Jan19_Tst2,02/02/19 06:23, 1250552, 116, 692, 1183, 471, 5.82, 17.38
19Jan19_Tst2,02/02/19 06:36, 1310283, 116, 692, 1183, 471, 5.82, 17.38
19Jan19_Tst2,02/02/19 06:41, 1220942, 116, 692, 1183, 471, 5.81, 17.38
19Jan19_Tst2,02/02/19 06:43, 1286974, 116, 692, 1183, 471, 5.84, 17.38
19Jan19_Tst2,02/02/19 06:45, 1293828, 116, 692, 1183, 471, 5.82, 17.31
19Jan19_Tst2,02/02/19 06:47, 1353139, 116, 692, 1183, 471, 5.83, 17.31
19Jan19_Tst2,02/02/19 06:49, 1220942, 116, 692, 1183, 471, 5.81, 17.38
19Jan19_Tst2,02/02/19 07:03, 1293828, 116, 692, 1183, 471, 5.81, 17.31
19Jan19_Tst2,02/02/19 07:05, 1165673, 116, 692, 1184, 471, 5.82, 17.31
19Jan19_Tst2,02/02/19 07:09, 1244442, 116, 692, 1183, 471, 5.82, 17.38
19Jan19_Tst2,02/02/19 07:15, 1250552, 116, 692, 1183, 471, 5.83, 17.38
19Jan19_Tst2,02/02/19 07:20, 1303192, 116, 692, 1183, 471, 5.83, 17.44
19Jan19_Tst2,02/02/19 07:29, 1332307, 116, 692, 1183, 471, 5.84, 17.38
